blueprint_name,product_type_id,research_pe_time,research_me_time,copy_time,invention_time,manufacturing_time,max_copy_run,base_waste,blueprint_type_id
Clone Grade Beta Blueprint,165,12000,12000,12000,120000,600,300,10,681
Clone Grade Gamma Blueprint,166,12000,12000,12000,120000,600,300,10,682
Bantam Blueprint,582,120000,120000,120000,90000,6000,30,10,683
Condor Blueprint,583,120000,120000,120000,90000,6000,30,10,684
Griffin Blueprint,584,120000,120000,120000,90000,6000,30,10,685
Osprey Blueprint,620,240000,240000,240000,180000,12000,15,10,686
Caracal Blueprint,621,240000,240000,240000,180000,12000,15,10,687
Raven Blueprint,638,360000,360000,360000,270000,18000,10,10,688
Slasher Blueprint,585,120000,120000,120000,90000,6000,30,10,689
Probe Blueprint,586,120000,120000,120000,90000,6000,30,10,690
Rifter Blueprint,587,120000,120000,120000,90000,6000,30,10,691
Stabber Blueprint,622,240000,240000,240000,180000,12000,15,10,692
Tempest Blueprint,639,360000,360000,360000,270000,18000,10,10,693
Miner I Blueprint,483,12000,12000,12000,9000,600,300,10,785
Light Missile Launcher I Blueprint,499,12000,12000,12000,9000,600,300,10,786
Heavy Missile Launcher I Blueprint,501,12000,12000,12000,9000,600,300,10,788
Torpedo Launcher I Blueprint,503,12000,12000,12000,9000,600,300,10,790
Mjolnir Cruise Missile Blueprint,202,6000,6000,6000,4500,300,1500,10,803
Scourge Cruise Missile Blueprint,203,6000,6000,6000,4500,300,1500,10,804
Inferno Cruise Missile Blueprint,204,6000,6000,6000,4500,300,1500,10,805
Nova Cruise Missile Blueprint,205,6000,6000,6000,4500,300,1500,10,806
Nova Heavy Missile Blueprint,206,6000,6000,6000,4500,300,1500,10,807
Mjolnir Heavy Missile Blueprint,207,6000,6000,6000,4500,300,1500,10,808
Inferno Heavy Missile Blueprint,208,6000,6000,6000,4500,300,1500,10,809
Scourge Heavy Missile Blueprint,209,6000,6000,6000,4500,300,1500,10,810
Scourge Light Missile Blueprint,210,6000,6000,6000,4500,300,1500,10,811
Inferno Light Missile Blueprint,211,6000,6000,6000,4500,300,1500,10,812
Mjolnir Light Missile Blueprint,212,6000,6000,6000,4500,300,1500,10,813
Nova Light Missile Blueprint,213,6000,6000,6000,4500,300,1500,10,814
125mm Gatling AutoCannon I Blueprint,484,12000,12000,12000,9000,600,300,10,819
150mm Light AutoCannon I Blueprint,485,12000,12000,12000,9000,600,300,10,820
200mm AutoCannon I Blueprint,486,12000,12000,12000,9000,600,300,10,821
250mm Light Artillery Cannon I Blueprint,487,12000,12000,12000,9000,600,300,10,822
280mm Howitzer Artillery I Blueprint,488,12000,12000,12000,9000,600,300,10,823
Dual 180mm AutoCannon I Blueprint,489,12000,12000,12000,9000,600,300,10,824
220mm Vulcan AutoCannon I Blueprint,490,12000,12000,12000,9000,600,300,10,825
425mm AutoCannon I Blueprint,491,12000,12000,12000,9000,600,300,10,826
650mm Artillery Cannon I Blueprint,492,12000,12000,12000,9000,600,300,10,827
720mm Howitzer Artillery I Blueprint,493,12000,12000,12000,9000,600,300,10,828
Dual 425mm AutoCannon I Blueprint,494,12000,12000,12000,9000,600,300,10,829
Dual 650mm Repeating Artillery I Blueprint,495,12000,12000,12000,9000,600,300,10,830
800mm Repeating Artillery I Blueprint,496,12000,12000,12000,9000,600,300,10,831
1200mm Artillery Cannon I Blueprint,497,12000,12000,12000,9000,600,300,10,832
1400mm Howitzer Artillery I Blueprint,498,12000,12000,12000,9000,600,300,10,833
Gatling Pulse Laser I Blueprint,450,12000,12000,12000,9000,600,300,10,834
Dual Light Pulse Laser I Blueprint,451,12000,12000,12000,9000,600,300,10,835
Dual Light Beam Laser I Blueprint,452,12000,12000,12000,9000,600,300,10,836
Small Focused Pulse Laser I Blueprint,453,12000,12000,12000,9000,600,300,10,837
Small Focused Beam Laser I Blueprint,454,12000,12000,12000,9000,600,300,10,838
Quad Light Beam Laser I Blueprint,455,12000,12000,12000,9000,600,300,10,839
Focused Medium Pulse Laser I Blueprint,456,12000,12000,12000,9000,600,300,10,840
Focused Medium Beam Laser I Blueprint,457,12000,12000,12000,9000,600,300,10,841
Heavy Pulse Laser I Blueprint,458,12000,12000,12000,9000,600,300,10,842
Heavy Beam Laser I Blueprint,459,12000,12000,12000,9000,600,300,10,843
Dual Heavy Pulse Laser I Blueprint,460,12000,12000,12000,9000,600,300,10,844
Dual Heavy Beam Laser I Blueprint,461,12000,12000,12000,9000,600,300,10,845
Mega Pulse Laser I Blueprint,462,12000,12000,12000,9000,600,300,10,846
Mega Beam Laser I Blueprint,463,12000,12000,12000,9000,600,300,10,847
Tachyon Beam Laser I Blueprint,464,12000,12000,12000,9000,600,300,10,848
Carbonized Lead S Blueprint,178,6000,6000,6000,4500,300,1500,10,879
Nuclear S Blueprint,179,6000,6000,6000,4500,300,1500,10,880
Proton S Blueprint,180,6000,6000,6000,4500,300,1500,10,881
Depleted Uranium S Blueprint,181,6000,6000,6000,4500,300,1500,10,882
Titanium Sabot S Blueprint,182,6000,6000,6000,4500,300,1500,10,883
Fusion S Blueprint,183,6000,6000,6000,4500,300,1500,10,884
Phased Plasma S Blueprint,184,6000,6000,6000,4500,300,1500,10,885
EMP S Blueprint,185,6000,6000,6000,4500,300,1500,10,886
Carbonized Lead M Blueprint,186,6000,6000,6000,4500,300,1500,10,887
Nuclear M Blueprint,187,6000,6000,6000,4500,300,1500,10,888
Proton M Blueprint,188,6000,6000,6000,4500,300,1500,10,889
Depleted Uranium M Blueprint,189,6000,6000,6000,4500,300,1500,10,890
Titanium Sabot M Blueprint,190,6000,6000,6000,4500,300,1500,10,891
Fusion M Blueprint,191,6000,6000,6000,4500,300,1500,10,892
Phased Plasma M Blueprint,192,6000,6000,6000,4500,300,1500,10,893
EMP M Blueprint,193,6000,6000,6000,4500,300,1500,10,894
Carbonized Lead L Blueprint,194,6000,6000,6000,4500,300,1500,10,895
Nuclear L Blueprint,195,6000,6000,6000,4500,300,1500,10,896
Proton L Blueprint,196,6000,6000,6000,4500,300,1500,10,897
Depleted Uranium L Blueprint,197,6000,6000,6000,4500,300,1500,10,898
Titanium Sabot L Blueprint,198,6000,6000,6000,4500,300,1500,10,899
Fusion L Blueprint,199,6000,6000,6000,4500,300,1500,10,900
Phased Plasma L Blueprint,200,6000,6000,6000,4500,300,1500,10,901
EMP L Blueprint,201,6000,6000,6000,4500,300,1500,10,902
Reaper Blueprint,588,120000,120000,120000,90000,6000,30,10,935
Executioner Blueprint,589,120000,120000,120000,90000,6000,30,10,936
Inquisitor Blueprint,590,120000,120000,120000,90000,6000,30,10,937
Tormentor Blueprint,591,120000,120000,120000,90000,6000,30,10,938
Navitas Blueprint,592,120000,120000,120000,90000,6000,30,10,939
Tristan Blueprint,593,120000,120000,120000,90000,6000,30,10,940
Incursus Blueprint,594,120000,120000,120000,90000,6000,30,10,941
Impairor Blueprint,596,120000,120000,120000,90000,6000,30,10,943
Punisher Blueprint,597,120000,120000,120000,90000,6000,30,10,944
Breacher Blueprint,598,120000,120000,120000,90000,6000,30,10,945
Burst Blueprint,599,120000,120000,120000,90000,6000,30,10,946
Minmatar Peacekeeper Ship Blueprint,600,120000,120000,120000,1200000,6000,30,10,947
Ibis Blueprint,601,120000,120000,120000,90000,6000,30,10,948
Kestrel Blueprint,602,120000,120000,120000,90000,6000,30,10,949
Merlin Blueprint,603,120000,120000,120000,90000,6000,30,10,950
Heron Blueprint,605,120000,120000,120000,90000,6000,30,10,952
Velator Blueprint,606,120000,120000,120000,90000,6000,30,10,953
Imicus Blueprint,607,120000,120000,120000,90000,6000,30,10,954
Atron Blueprint,608,120000,120000,120000,90000,6000,30,10,955
Maulus Blueprint,609,120000,120000,120000,90000,6000,30,10,956
Wraith Blueprint,610,120000,120000,120000,1200000,6000,30,10,957
Specter Blueprint,611,120000,120000,120000,1200000,6000,30,10,958
Devourer Blueprint,613,120000,120000,120000,1200000,6000,30,10,960
Fury Blueprint,614,120000,120000,120000,1200000,6000,30,10,961
Immolator Blueprint,615,120000,120000,120000,1200000,6000,30,10,962
Medusa Blueprint,616,120000,120000,120000,1200000,6000,30,10,963
Echo Blueprint,617,120000,120000,120000,1200000,6000,30,10,964
Lynx Blueprint,618,120000,120000,120000,1200000,6000,30,10,965
Swordspine Blueprint,619,120000,120000,120000,1200000,6000,30,10,966
Caldari Shuttle Blueprint,672,120000,120000,120000,90000,2000,30,10,967
Moa Blueprint,623,240000,240000,240000,180000,12000,15,10,968
Maller Blueprint,624,240000,240000,240000,180000,12000,15,10,969
Augoror Blueprint,625,240000,240000,240000,180000,12000,15,10,970
Vexor Blueprint,626,240000,240000,240000,180000,12000,15,10,971
Thorax Blueprint,627,240000,240000,240000,180000,12000,15,10,972
Arbitrator Blueprint,628,240000,240000,240000,180000,12000,15,10,973
Rupture Blueprint,629,240000,240000,240000,180000,12000,15,10,974
Bellicose Blueprint,630,240000,240000,240000,180000,12000,15,10,975
Scythe Blueprint,631,240000,240000,240000,180000,12000,15,10,976
Blackbird Blueprint,632,240000,240000,240000,180000,12000,15,10,977
Celestis Blueprint,633,240000,240000,240000,180000,12000,15,10,978
Exequror Blueprint,634,240000,240000,240000,180000,12000,15,10,979
Badger Blueprint,648,240000,240000,240000,180000,12000,15,10,983
Tayra Blueprint,649,240000,240000,240000,180000,12000,15,10,984
Nereus Blueprint,650,240000,240000,240000,180000,12000,15,10,985
Hoarder Blueprint,651,240000,240000,240000,180000,12000,15,10,986
Mammoth Blueprint,652,240000,240000,240000,180000,12000,15,10,987
Wreathe Blueprint,653,240000,240000,240000,180000,12000,15,10,988
Kryos Blueprint,654,240000,240000,240000,180000,12000,15,10,989
Epithal Blueprint,655,240000,240000,240000,180000,12000,15,10,990
Miasmos Blueprint,656,240000,240000,240000,180000,12000,15,10,991
Iteron Mark V Blueprint,657,240000,240000,240000,180000,12000,15,10,992
