item_type_id,amount,blueprint_type_id
38,77,681
38,120,682
34,24,879
35,19,879
34,34,880
35,29,880
34,52,881
35,21,881
37,1,881
34,106,882
36,1,882
37,2,882
34,52,883
35,58,883
36,1,883
34,146,884
35,3,884
37,3,884
34,148,885
35,15,885
37,3,885
34,184,886
35,15,886
38,1,886
34,148,887
35,15,887
37,3,887
34,104,888
35,116,888
36,2,888
34,125,889
35,175,889
34,261,890
35,107,890
36,13,890
37,2,890
34,259,891
35,229,891
34,215,892
35,286,892
36,1,892
34,601,893
35,32,893
36,4,893
37,13,893
34,404,894
35,375,894
36,6,894
34,224,895
35,178,895
37,1,895
34,468,896
35,90,896
36,2,896
37,2,896
38,2,896
34,460,897
35,385,897
34,412,898
35,522,898
34,936,899
35,140,899
36,94,899
34,1112,900
35,201,900
36,99,900
34,1376,901
36,80,901
37,21,901
34,1600,902
35,114,902
36,80,902
37,26,902
34,2776,803
35,425,803
36,61,803
39,2,803
34,1680,804
35,130,804
36,15,804
38,2,804
39,2,804
34,1658,805
35,636,805
39,2,805
34,1302,806
36,73,806
37,4,806
39,1,806
34,316,807
35,107,807
38,1,807
34,446,808
35,198,808
38,2,808
34,644,809
35,2,809
36,5,809
38,3,809
34,738,810
38,2,810
34,62,811
35,39,811
36,2,811
34,52,812
35,65,812
34,135,813
35,16,813
36,11,813
34,49,814
35,14,814
36,5,814
34,24,1130
35,19,1130
34,34,1131
35,29,1131
34,52,1132
35,21,1132
37,1,1132
34,106,1133
36,1,1133
37,2,1133
34,52,1134
35,58,1134
36,1,1134
34,62,1135
35,68,1135
36,1,1135
34,148,1136
35,15,1136
37,3,1136
34,184,1137
35,15,1137
38,1,1137
34,148,1138
35,15,1138
37,3,1138
34,202,1139
35,3,1139
36,21,1139
34,122,1140
35,149,1140
36,2,1140
34,371,1141
35,2,1141
36,3,1141
37,3,1141
38,1,1141
34,405,1142
36,29,1142
38,1,1142
34,231,1143
35,270,1143
36,4,1143
34,473,1144
35,120,1144
36,2,1144
37,10,1144
34,404,1145
35,375,1145
36,6,1145
34,224,1146
35,178,1146
37,1,1146
34,468,1147
35,90,1147
36,2,1147
37,2,1147
38,2,1147
34,460,1148
35,385,1148
34,412,1149
35,522,1149
34,936,1150
35,140,1150
36,94,1150
34,1112,1151
35,201,1151
36,99,1151
34,1376,1152
36,80,1152
37,21,1152
34,1600,1153
35,114,1153
36,80,1153
37,26,1153
35,7,1154
37,3,1154
38,1,1154
39,1,1154
34,4,1155
35,1,1155
36,2,1155
37,3,1155
38,3,1155
34,4,1156
36,3,1156
37,7,1156
34,3,1157
35,1,1157
36,2,1157
37,9,1157
34,2,1158
35,3,1158
36,2,1158
37,11,1158
34,2,1159
36,10,1159
37,1,1159
39,1,1159
34,2,1160
35,5,1160
36,4,1160
37,2,1160
38,2,1160
39,1,1160
35,4,1161
37,3,1161
38,3,1161
39,1,1161
34,24,1162
36,12,1162
37,3,1162
38,17,1162
39,2,1162
40,2,1162
36,53,1163
37,3,1163
38,3,1163
40,2,1163
35,2,1164
36,56,1164
40,1,1164
35,4,1165
36,30,1165
37,24,1165
40,1,1165
35,7,1166
36,3,1166
37,48,1166
38,1,1166
40,1,1166
34,36,1167
36,11,1167
38,16,1167
40,2,1167
35,3,1168
36,41,1168
37,3,1168
38,1,1168
39,4,1168
40,3,1168
34,32,1169
36,16,1169
38,1,1169
39,3,1169
40,4,1169
34,12,1170
35,5,1170
36,5,1170
37,42,1170
38,15,1170
39,8,1170
40,33,1170
36,78,1171
37,3,1171
38,1,1171
39,8,1171
40,22,1171
35,8,1172
36,99,1172
37,4,1172
38,4,1172
39,2,1172
40,11,1172
35,51,1173
36,49,1173
37,3,1173
38,3,1173
39,3,1173
40,14,1173
35,94,1174
37,2,1174
38,3,1174
39,4,1174
40,17,1174
35,2,1175
36,60,1175
37,18,1175
38,4,1175
39,15,1175
40,26,1175
35,46,1176
36,2,1176
37,3,1176
38,18,1176
39,6,1176
40,40,1176
35,32,1177
36,4,1177
37,22,1177
38,3,1177
39,13,1177
40,45,1177
34,156,1178
35,38,1178
36,12,1178
34,450,1179
35,36,1179
36,17,1179
37,6,1179
34,558,1215
36,12,1215
38,1,1215
34,28,1220
35,23,1220
34,1688,1221
39,5,1221
40,2,1221
34,135,1216
35,16,1216
36,11,1216
34,10,1217
36,2,1217
37,10,1217
34,824,1010
35,58,1010
36,26,1010
38,4,1010
34,902,1013
35,62,1013
36,30,1013
38,4,1013
11399,1,1013
34,412,1026
35,549,1026
36,46,1026
37,4,1026
38,3,1026
34,525,1027
35,636,1027
36,52,1027
37,5,1027
38,4,1027
11399,1,1027
34,1194,1032
35,433,1032
36,102,1032
34,1285,1033
35,512,1033
36,153,1033
11399,1,1033
34,3570,1067
35,1918,1067
36,205,1067
37,12,1067
38,2,1067
34,823,1071
35,633,1071
36,2,1071
38,2,1071
11399,1,1071
34,637,1072
35,579,1072
36,1,1072
38,1,1072
34,4130,1073
35,2068,1073
36,235,1073
37,15,1073
38,3,1073
11399,11,1073
34,530,1074
35,3,1074
36,13,1074
34,496,1075
36,31,1075
34,1000,1076
34,452,1079
35,267,1079
36,301,1079
37,177,1079
39,2,1079
34,690,1080
35,350,1080
36,460,1080
37,221,1080
39,3,1080
11399,5,1080
34,208,834
35,198,834
34,992,835
35,102,835
36,4,835
38,2,835
39,1,835
34,1568,836
35,5,836
36,70,836
37,12,836
39,1,836
34,1400,837
35,1042,837
36,3,837
37,6,837
34,1980,838
35,728,838
36,19,838
37,4,838
39,2,838
34,8,839
35,538,839
36,444,839
34,4008,840
35,1158,840
36,1079,840
40,1,840
34,4076,841
35,1479,841
36,2172,841
38,1,841
34,8180,842
35,2507,842
36,2544,842
37,13,842
38,1,842
34,8220,843
35,2683,843
36,3239,843
37,2,843
38,16,843
34,12316,844
35,3705,844
36,3466,844
39,1,844
40,4,844
34,40996,845
35,10935,845
36,5454,845
37,1436,845
38,113,845
39,7,845
34,61476,846
35,16055,846
36,6477,846
37,1756,846
38,211,846
39,5,846
40,12,846
34,81960,847
35,21174,847
36,7752,847
37,2065,847
38,292,847
39,8,847
40,23,847
34,102492,848
35,26293,848
36,8772,848
37,2385,848
38,370,848
39,19,848
40,33,848
34,532,784
35,978,784
36,211,784
38,28,784
40,2,784
11399,1,784
34,1192,785
35,433,785
36,107,785
34,208,819
35,198,819
34,896,820
35,270,820
39,1,820
34,1500,821
35,130,821
36,75,821
37,20,821
34,1436,822
35,621,822
36,130,822
34,2456,823
35,133,823
36,154,823
39,2,823
34,744,824
35,538,824
36,444,824
34,4008,825
35,1158,825
36,1079,825
40,1,825
34,4076,826
35,1479,826
36,2172,826
38,1,826
34,8180,827
35,2507,827
36,2544,827
37,13,827
38,1,827
34,8220,828
35,2683,828
36,3239,828
37,2,828
38,16,828
