item_type_id,amount,blueprint_type_id
23128,2,23418
23129,2,23418
23139,2,23418
23169,1,23418
34,17294,683
35,6475,683
36,2160,683
37,404,683
34,16001,684
35,2578,684
36,1754,684
37,432,684
38,10,684
39,1,684
34,28,685
35,1129,685
36,1,685
37,200,685
38,48,685
39,8,685
40,3,685
34,17146,689
35,3582,689
36,1282,689
37,90,689
38,90,689
40,2,689
34,5766,690
35,6752,690
36,1128,690
37,1,690
38,39,690
39,15,690
40,3,690
34,17248,936
35,1490,936
36,1370,936
37,298,936
38,60,936
39,5,936
34,17771,938
35,1982,938
36,3444,938
37,198,938
38,40,938
39,10,938
34,14270,939
35,3986,939
36,2897,939
37,246,939
38,28,939
39,3,939
34,562,945
35,23,945
36,65,945
37,86,945
38,2,945
40,1,945
34,13338,946
35,2717,946
36,3538,946
37,149,946
38,20,946
39,3,946
40,1,946
34,1148,949
35,5000,949
36,21,949
37,139,949
38,49,949
39,9,949
34,4515,952
35,5847,952
36,1259,952
37,376,952
38,44,952
39,7,952
40,4,952
34,8371,954
35,4078,954
36,1005,954
37,249,954
38,45,954
39,19,954
40,2,954
34,16663,955
35,2891,955
36,1449,955
37,242,955
38,50,955
39,4,955
34,252,956
35,901,956
36,169,956
37,42,956
38,2,956
34,400,2162
35,1142,2162
36,630,2162
37,250,2162
38,73,2162
39,8,2162
40,2,2162
34,214,3767
35,994,3767
36,370,3767
37,28,3767
38,41,3767
39,8,3767
40,4,3767
607,1,11173
11478,2,11173
609,1,11175
11478,4,11175
583,1,11177
11478,1,11177
583,1,11179
11478,1,11179
586,1,11183
11478,2,11183
589,1,11185
11478,1,11185
589,1,11187
11478,1,11187
11478,2,11189
29248,1,11189
2161,1,11191
11478,4,11191
605,1,11193
11478,2,11193
584,1,11195
11478,4,11195
585,1,11197
11478,1,11197
585,1,11199
11478,1,11199
608,1,11201
11478,1,11201
608,1,11203
11478,1,11203
597,1,11366
11478,4,11366
587,1,11372
11478,4,11372
587,1,11374
11478,4,11374
593,1,11376
11399,15,11376
11478,1,11376
593,1,11378
11478,2,11378
603,1,11380
11478,4,11380
603,1,11382
11478,4,11382
11478,2,11384
3766,1,11388
11478,4,11388
11478,2,11390
597,1,11394
11478,4,11394
587,1,11401
11478,4,11401
602,1,12031
11478,2,12031
598,1,12035
11478,2,12035
598,1,12037
11399,15,12037
11478,1,12037
590,1,12041
11478,2,12041
594,1,12043
11478,4,12043
594,1,12045
11478,4,12045
34,44,29249
35,4612,29249
36,3001,29249
37,98,29249
38,60,29249
34,285564,686
35,65394,686
36,15163,686
37,4700,686
38,560,686
39,208,686
40,30,686
34,182512,687
35,32796,687
36,7691,687
37,4116,687
38,1724,687
39,354,687
40,174,687
34,152516,692
35,92797,692
36,10168,692
37,3950,692
38,1220,692
39,291,692
40,49,692
35,1190,968
36,84,968
37,182,968
38,252,968
39,29,968
40,15,968
34,315154,970
35,52394,970
36,15097,970
37,4429,970
38,454,970
39,159,970
40,17,970
34,252266,971
35,42798,971
36,10821,971
37,3751,971
38,1324,971
39,329,971
40,107,971
36,876,972
37,1230,972
38,665,972
34,154210,973
35,28156,973
36,18764,973
37,3816,973
38,999,973
39,271,973
40,45,973
34,99516,974
35,37226,974
36,5757,974
37,2147,974
38,553,974
39,16,974
40,18,974
34,144202,975
35,29157,975
36,20252,975
37,3845,975
38,983,975
39,227,975
40,27,975
34,275162,976
35,74394,976
36,16866,976
37,4395,976
38,256,976
39,181,976
40,26,976
34,124202,977
35,24155,977
36,17766,977
37,4387,977
38,1198,977
39,321,977
40,97,977
34,134202,978
35,25154,978
36,21021,978
37,4957,978
38,896,978
39,260,978
40,42,978
34,305154,979
35,69395,979
36,13842,979
37,4611,979
38,155,979
39,167,979
40,42,979
34,202522,2007
35,42796,2007
36,8434,2007
37,4250,2007
38,1324,2007
39,314,2007
40,115,2007
632,1,11958
11478,12,11958
632,1,11960
11478,12,11960
630,1,11962
11478,12,11962
11478,12,11964
630,1,11964
628,1,11966
11478,12,11966
633,1,11970
11478,12,11970
633,1,11972
11478,12,11972
631,1,11979
11478,8,11979
